Comment,Comment ID,Replies Count,Like Count,Updated At
WHY ARE ALL WRITING THE SAME KIND OF COMMENTS. IT DOES NOT LOOK LIKE A COMENT SECTION. I WANTED TO SEE OTHER PEOPLE OPINIONS BUT I AM SEEING ONLY THI KIND OF COMMENTS.,UgyiXXM379OV_G_OZN54AaABAg,427,22620,2020-06-26T11:38:11Z
"blackpink: comebacks after 1 year

*views get freezed*

Youtube: *HOW YOU LIKE THAT*",Ugxc2Ymdx1EJsEWPZUJ4AaABAg,210,22091,2020-06-26T11:46:57Z
"The vocals, visuals, dances and the raps is EVERYTHINGGGGGG",UgyUwl4huK0bcdOgX714AaABAg,116,21969,2020-06-26T15:46:40Z
"Can you all stop commenting “no one, Literally no one” is annoying and stupid.                                 
By the way the song is fire!!!! BLACKPINK IN Your AREA!¡",UgyaqtZonyw8nfoKLDF4AaABAg,289,21812,2020-06-26T11:50:41Z
"BLACKPINK: How you like that?

Me: NO I DON'T LIKE IT COZ I LOVEEEE IT VERYYY MUCHHHH!!!

Edit (2). Emojis don't freeze the views guys <3",UgyhICzN6aZbpeAOUgR4AaABAg,261,21807,2020-06-27T03:10:15Z
Aquí está el comentario en español que buscabas v:,UgwBWnxlk8HbduPJ_QB4AaABAg,496,21548,2020-06-26T19:56:38Z
THIS IS JISOO ERA SHE  DESERVED THE SCREEN TIME AND SHE WAS IN THE CENTER IN THE BREAKDANCE OMGG,Ugy6Gl12wEYVexL_bOx4AaABAg,236,21417,2020-06-26T11:47:03Z
"The spam comments are hurting my head- anyways slayed by this comeback.

Edit: guys thank you for the love and likes. And also let’s not start fan wars, I love all of our fellow kpop groups/fandoms. Let’s not let the trolls divide us, we are better than them!!!!",UgxPeiLq__a-yf-07Jl4AaABAg,283,21349,2020-06-27T10:30:51Z
"Well since everyone else decided to be annoying as hell, I’ll say it. These girls slayed this! I honestly didn’t think I was gonna like it since it reminded me of Kill This Love BUT  THEY WON ME OVER AGAIN.",UgxjtDZC_Fb043BD5uJ4AaABAg,212,21089,2020-06-26T12:12:48Z
Spread positive comments we can do this all together,UgwmWyPc63SecN0FlkF4AaABAg,376,21034,2020-06-27T05:46:00Z
"They killed it! My favourite moments:
- Kim Jisoo, just Kim Jisoo
- Rosé's background in the beginning was just so    wow
- Lisa's rap. Didn't know but I needed it
- Jennie's outfit. No need to more
- ""I kiss you goodbye"" , ""Badabim badaboum boum boum"" ""Now look at u now look at me""
- 2:22
- 2:32
- 2:41
What are youre favourite moments ?
Edit: omg I didn't expected that much like, thank you so much!",UgyU9Wczf7OIf8vfsfV4AaABAg,303,20747,2020-06-26T16:34:46Z
"These people in the comments section need a brain, I swear....",Ugx-HPwWlUNm8CRmkJh4AaABAg,209,19814,2020-06-26T16:52:12Z
